Step,Total_Production_actual_log_diff_mean,Total_Production_actual_log_diff_CI_Upper,Total_Production_actual_log_diff_CI_Lower,Total_Production_actual_diff_SEM
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
1,-0.0015,-0.0017,-0.0014,0.0386
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
2,0.0976,0.0964,0.0989,0.1484
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
3,0.1558,0.1532,0.1584,0.338
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
4,0.1873,0.183,0.1916,0.5394
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
5,0.2016,0.1957,0.2078,0.6651
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
6,0.2061,0.1982,0.2143,0.7275
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
7,0.2056,0.1959,0.2158,0.8208
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
8,0.2072,0.1962,0.2189,1.0031
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
9,0.2116,0.1996,0.2243,1.2235
10,0.2171,0.2045,0.2304,1.3473
10,0.2171,0.2045,0.2304,1.3473
