Period,Capital (log deviations),Dividends (log deviations)
0,0.09531017980432493,0.020121037958690816
1,0.08577916182389245,0.018108934162821735
2,0.0772012456415032,0.01629804074653956
3,0.06948112107735288,0.014668236671885604
4,0.0625330089696176,0.013201413004697045
5,0.05627970807265584,0.01188127170422734
6,0.050651737265390254,0.010693144533804606
7,0.04558656353885123,0.009623830080424146
8,0.04102790718496611,0.008661447072381732
9,0.036925116466469496,0.007795302365143558
10,0.03323260481982255,0.007015772128629203
11,0.029909344337840295,0.006314194915766283
12,0.026918409904056265,0.005682775424189654
13,0.024226568913650638,0.0051144978817706886
14,0.021803912022285574,0.00460304809359362
15,0.019623520820057017,0.0041427432842342585
16,0.017661168738051316,0.0037284689558108324
17,0.015895051864246185,0.0033556220602297495
18,0.014305546677821567,0.0030200598542067746
19,0.01287499201003941,0.002718053868786097
20,0.01158749280903547,0.0024462484819074877
21,0.010428743528131923,0.0022016236337167386
22,0.00938586917531873,0.001981461270345065
23,0.008447282257786856,0.001783315143310558
24,0.007602554032008171,0.0016049836289795023
25,0.006842298628807354,0.0014444852660815523
26,0.006158068765926619,0.001300036739473397
27,0.005542261889333957,0.0011700330655260572
28,0.004988035700400561,0.0010530297589734516
29,0.0044892321303605055,0.0009477267830761064
30,0.004040308917324455,0.0008529541047684959
31,0.00363627802559201,0.0007676586942916464
32,0.003272650223032809,0.0006908928248624817
33,0.002945385200729528,0.0006218035423762335
34,0.0026508466806565755,0.0005596231881386102
35,0.002385762012590918,0.0005036608693247492
36,0.002147185811331826,0.0004532947823922743
37,0.0019324672301986436,0.00040796530415304687
38,0.0017392205071787793,0.0003671687737377422
39,0.0015652984564609013,0.00033045189636396797
40,0.0014087686108148112,0.00029740670672757116
41,0.00126789174973333,0.00026766603605481404
42,0.0011411025747599971,0.00024089943244933268
43,0.0010269923172839975,0.00021680948920439942
44,0.0009242930855555977,0.00019512854028395948
45,0.000831863777000038,0.00017561568625556353
46,0.0007486773993000341,0.00015805411763000716
47,0.0006738096593700307,0.00014224870586700646
48,0.0006064286934330277,0.0001280238352803058
49,0.000545785824089725,0.00011522145175227524
50,0.0004912072416807525,0.00010369930657704771
51,0.00044208651751267725,9.332937591934295e-05
52,0.00039787786576140954,8.399643832740866e-05
53,0.0003580900791852686,7.55967944946678e-05
54,0.00032228107126674175,6.803711504520101e-05
55,0.0002900529641400676,6.123340354068092e-05
56,0.00026104766772606084,5.511006318661283e-05
57,0.00023494290095345477,4.959905686795155e-05
58,0.0002114486108581093,4.46391511811564e-05
59,0.00019030374977229838,4.017523606304076e-05
60,0.00017127337479506854,3.615771245673668e-05
61,0.0001541460373155617,3.254194121106301e-05
62,0.00013873143358400552,2.928774708995671e-05
63,0.00012485829022560496,2.635897238096104e-05
64,0.00011237246120304447,2.3723075142864936e-05
65,0.00010113521508274002,2.1350767628578443e-05
66,9.102169357446602e-05,1.9215690865720597e-05
67,8.191952421701942e-05,1.7294121779148537e-05
68,7.372757179531748e-05,1.5564709601233688e-05
69,6.635481461578574e-05,1.4008238641110318e-05
70,5.9719333154207166e-05,1.2607414776999288e-05
71,5.374739983878645e-05,1.1346673299299358e-05
72,4.8372659854907805e-05,1.0212005969369423e-05
73,4.3535393869417024e-05,9.19080537243248e-06
74,3.918185448247532e-05,8.271724835189233e-06
75,3.526366903422779e-05,7.444552351670309e-06
76,3.173730213080501e-05,6.700097116503279e-06
77,2.856357191772451e-05,6.030087404852951e-06
78,2.570721472595206e-05,5.427078664367655e-06
79,2.3136493253356854e-05,4.88437079793089e-06
80,2.082284392802117e-05,4.3959337181378015e-06
81,1.8740559535219055e-05,3.956340346324022e-06
82,1.686650358169715e-05,3.5607063116916195e-06
83,1.5179853223527434e-05,3.2046356805224576e-06
84,1.366186790117469e-05,2.8841721124702116e-06
85,1.2295681111057222e-05,2.5957549012231906e-06
86,1.10661129999515e-05,2.3361794111008716e-06
87,9.95950169995635e-06,2.1025614699907845e-06
88,8.963551529960715e-06,1.8923053229917059e-06
89,8.067196376964644e-06,1.7030747906925355e-06
90,7.26047673926818e-06,1.532767311623282e-06
91,6.534429065341362e-06,1.3794905804609539e-06
92,5.880986158807226e-06,1.2415415224148585e-06
93,5.292887542926504e-06,1.1173873701733726e-06
94,4.763598788633853e-06,1.0056486331560354e-06
95,4.287238909770468e-06,9.050837698404318e-07
96,3.858515018793421e-06,8.145753928563887e-07
97,3.4726635169140794e-06,7.3311785357075e-07
98,3.1253971652226714e-06,6.598060682136749e-07
99,2.8128574487004044e-06,5.938254613923074e-07
