Time,Capital,Dividends
0,1.0,0.8500024970520914
1,1.7986751751404588,1.2819973280299999
2,2.7128117582255125,1.7092829592960441
3,3.6169832875067423,2.090560560749917
4,4.423798042699339,2.4070045212187936
5,5.093419482627433,2.6566039445994862
6,5.6215923857909305,2.846569214356036
7,6.023574516472867,2.987570776427752
8,6.3219454156572725,3.090407298433433
9,6.539555951944989,3.1644918644244204
10,6.696324985178638,3.2174052591570765
11,6.808294079232021,3.2549701943334224
12,6.887784570838558,3.2815263069477663
13,6.943979488704461,3.3002443945439306
14,6.983588501151,3.313410547522249
15,7.011449163438856,3.322658094935262
16,7.031017734143539,3.32914673043441
17,7.044748220387201,3.333696313234683
18,7.054375511681612,3.3368847200544813
19,7.061122442678766,3.339118419077221
20,7.065849133476583,3.340682897995659
21,7.069159699507135,3.341778469356785
22,7.071478018590534,3.342545583080585
23,7.073101294305951,3.343082667460116
24,7.074237809014752,3.343458677873097
25,7.075033477966042,3.3437219103253164
26,7.075590499479204,3.343906185372818
27,7.0759804406317155,3.34403518394858
28,7.076253412224925,3.344125485912563
29,7.076444498605784,3.3441886987382583
30,7.076578262142623,3.3442329484272024
31,7.076671898122856,3.344263923557838
32,7.076737444046208,3.3442856063199877
33,7.07678332655378,3.3443007843371384
34,7.076815444486083,3.344311408990131
35,7.0768379271254265,3.3443188462673095
36,7.076853665015465,3.344324052371175
37,7.076864681559316,3.3443276966487034
38,7.076872393150216,3.3443302476453356
39,7.076877791268846,3.344332033344136
40,7.076881569954337,3.3443332833338637
41,7.0768842150353795,3.344334158326951
42,7.076886066592698,3.3443347708222473
43,7.076887362683109,3.3443351995690227
