Step,Total_Production_actual_log_diff_mean,Total_Production_actual_log_diff_CI_Upper,Total_Production_actual_log_diff_CI_Lower,Total_Production_actual_diff_SEM
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
1,0.0011,0.001,0.0012,0.0389
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
2,0.0647,0.0628,0.0665,0.1406
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
3,0.0907,0.0867,0.0948,0.3084
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
4,0.0994,0.093,0.106,0.4842
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
5,0.0987,0.0898,0.1079,0.5919
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
6,0.0941,0.0827,0.1059,0.6479
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
7,0.0876,0.0738,0.1019,0.7331
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
8,0.0847,0.0693,0.1008,0.8968
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
9,0.0856,0.0693,0.1026,1.0994
10,0.0863,0.0695,0.1039,1.2139
10,0.0863,0.0695,0.1039,1.2139
10,0.0863,0.0695,0.1039,1.2139
