Period,Capital,Capital10,Consumption,Consumption10
0,-0.01,-0.01,-0.005623873022136724,0.0026234400434074893
1,-0.005339839031119717,0.002490943071518222,-0.003003057666966688,-0.000653483979966935
2,-0.002851388087826956,-0.0006204797385544634,-0.0016035844542772037,0.00016277913922467893
3,-0.0015225953404248197,0.00015455797057696785,-0.0008562882858646224,-4.05473569039414e-05
4,-0.0008130414027401465,-3.849951059566153e-05,-0.00045724416107505085,1.0100115774824936e-05
5,-0.0004341510216268159,9.590008917510545e-06,-0.00024416102180601474,-2.5158813410832073e-06
6,-0.0002318296570683372,-2.3888166268870856e-06,-0.000130378055411783,6.266917195333187e-07
7,-0.0001237933051384606,5.950406225871916e-07,-6.96197829089328e-05,-1.5610533967493615e-07
8,-6.61036322569665e-05,-1.482212316105454e-07,-3.7175843411520076e-05,3.888495142902808e-08
9,-3.52982755624534e-05,3.692106499321857e-08,-1.9851301966362966e-05,-9.686020034846005e-09
10,-1.8848710957960797e-05,-9.196827103793176e-09,-1.0600275705852857e-05,2.4127324496386343e-09
11,-1.0064908245961298e-05,2.2908772754144607e-09,-5.660376595474319e-06,-6.009979178854545e-10
12,-5.374498989642283e-06,-5.706444876892193e-10,-3.0225499875350314e-06,1.49705159955365e-10
13,-2.869895947760535e-06,1.4214429329095261e-10,-1.6139930396949977e-06,-3.729070309613436e-11
14,-1.5324782397104018e-06,-3.540733425289525e-11,-8.618463029318904e-07,9.2889018509359e-12
15,-8.183187118747241e-07,8.819765393817924e-12,-4.602120527221936e-07,-2.3138125707601566e-12
16,-4.3696901975642617e-07,-2.196953350014694e-12,-2.4574582817176943e-07,5.763575391926778e-13
17,-2.333344227085487e-07,5.472485725667849e-13,-1.3122431650064535e-07,-1.4356738189692927e-13
18,-1.2459682576828952e-07,-1.3631650402334697e-13,-7.007167270821532e-08,3.576181752321666e-14
19,-6.653269933911353e-08,3.39556651230542e-14,-3.741714529031744e-08,-8.908065158435548e-15
20,-3.552739047767514e-08,-8.458162877706479e-15,-1.9980153285431435e-08,2.21894831870379e-15
21,-1.8971054634652067e-08,2.106880221799558e-15,-1.0669080236130162e-08,-5.527273940532214e-16
22,-1.0130237799961971e-08,-5.248118691010384e-16,-5.69711710710358e-09,1.3768124726551938e-16
23,-5.409383919876127e-09,1.3072764891877596e-16,-3.042168829337155e-09,-3.429561489540326e-17
24,-2.8885239389665913e-09,-3.256351313300916e-17,-1.6244691854150317e-09,8.54284243071619e-18
25,-1.5424252871617472e-09,8.111385742296179e-18,-8.67440396113044e-10,-2.127973416386438e-18
26,-8.236302750972335e-10,-2.0205000115184356e-18,-4.631992084334379e-10,5.300660637922757e-19
27,-4.3980530901760773e-10,5.032950504694335e-19,-2.473409212376629e-10,-1.3203643890503051e-19
28,-2.34848955518589e-10,-1.2536793188962493e-19,-1.32076070521798e-10,3.288952526784248e-20
29,-1.25405561909586e-10,3.122843813310296e-20,-7.052649564492174e-11,-8.192593509145572e-21
30,-6.696455142043073e-11,-7.778826160198826e-21,-3.7660013417284776e-11,2.0407284039371322e-21
31,-3.575799253762393e-11,1.937661312829196e-21,-2.010984095581095e-11,-5.083338278637639e-22
32,-1.9094192422689185e-11,-4.826604022140788e-22,-1.0738331364544916e-11,1.2662306265355792e-22
33,-1.0195991396638607e-11,1.202279584791358e-22,-5.734096094949399e-12,-3.154108406112978e-23
34,-5.444495282073167e-12,-2.994810001763838e-23,-3.0619150136001953e-12,7.856704481024505e-24
35,-2.907272841196145e-12,7.459901224407105e-24,-1.6350133299593783e-12,-1.957060359197416e-24
36,-1.5524368991533492e-12,-1.858218926914718e-24,-8.730707995718109e-13,4.8749259422857665e-25
37,-8.289763147449518e-13,4.628717561362243e-25,-4.662057532484456e-13,-1.214316300010117e-25
38,-4.426600081348877e-13,-1.1529871939489998e-25,-2.4894636777286174e-13,3.0247927741418434e-26
39,-2.3637331889544447e-13,2.8720254623164976e-26,-1.3293335312890107e-13,-7.534586603527008e-27
40,-1.262195474153202e-13,-7.154051926581198e-27,-7.098427075753263e-14,1.876822629680961e-27
41,-6.739920657785927e-14,1.7820336079799023e-27,-3.7904457958664276e-14,-4.6750583258724e-28
42,-3.599009139509537e-14,-4.438944269010157e-28,-2.024037040611119e-14,1.164530414577543e-28
43,-1.9218129476509614e-14,1.105715747174637e-28,-1.0808031989887296e-14,-2.9007789677641736e-29
44,-1.0262171788377837e-14,-2.754274979493256e-29,-5.771315106919069e-15,7.22567527175795e-30
45,-5.479834545963561e-15,6.860742177224719e-30,-3.081789366881731e-15,-1.7998745755226012e-30
46,-2.9261434392614416e-15,-1.7089718191830756e-30,-1.6456259146964789e-15,4.483385103499823e-31
47,-1.5625134947623132e-15,4.2569515124139735e-31,-8.787377489918344e-16,-1.1167857060510892e-31
48,-8.343570545983074e-16,-1.0603823875636602e-31,-4.692318130184879e-16,2.781849616858546e-32
49,-4.455332366034127e-16,2.6413521614616494e-32,-2.50562234979919e-16,-6.929429029119415e-33
