Period,Capital (log deviations),Dividends (log deviations)
0,0.09531017980432493,0.009781834243075457
1,0.09054467081410868,0.009292742530921683
2,0.08601743727340323,0.008828105404375598
3,0.08171656540973307,0.008386700134156818
4,0.07763073713924641,0.007967365127448977
5,0.07374920028228409,0.0075689968710765275
6,0.07006174026816987,0.0071905470275227005
7,0.06655865325476137,0.006831019676146565
8,0.0632307205920233,0.006489468692339235
9,0.06006918456242213,0.006164995257722274
10,0.057065725334301015,0.005856745494836159
11,0.05421243906758596,0.005563908220094351
12,0.051501817114206656,0.005285712809089633
13,0.04892672625849632,0.00502142716863515
14,0.0464803899455715,0.004770355810203393
15,0.044156370448292924,0.004531838019693223
16,0.04194855192587828,0.004305246118708562
17,0.03985112432958436,0.004089983812773134
18,0.03785856811310514,0.003885484622134476
19,0.03596563970744988,0.003691210391027752
20,0.03416735772207738,0.003506649871476364
21,0.032458989835973506,0.0033313173779025455
22,0.03083604034417483,0.003164751509007418
23,0.029294238326966086,0.003006513933557047
24,0.02782952641061778,0.002856188236879194
25,0.02643805009008689,0.002713378825035235
26,0.025116147585582546,0.0025777098837834727
27,0.023860340206303416,0.002448824389594299
28,0.022667323195988243,0.002326383170114584
29,0.02153395703618883,0.0022100640116088544
30,0.020457259184379385,0.0020995608110284114
31,0.019434396225160414,0.0019945827704769908
32,0.018462676413902392,0.001894853631953141
33,0.017539542593207273,0.001800110950355484
34,0.01666256546354691,0.0017101054028377098
35,0.015829437190369562,0.001624600132695824
36,0.015037965330851083,0.0015433701260610328
37,0.014286067064308529,0.0014662016197579811
38,0.013571763711093102,0.001392891538770082
39,0.012893175525538446,0.0013232469618315779
40,0.012248516749261524,0.001257084613739999
41,0.011636090911798447,0.001194230383052999
42,0.011054286366208525,0.0011345188639003492
43,0.0105015720478981,0.0010777929207053316
44,0.009976493445503195,0.0010239032746700652
45,0.009477668773228034,0.0009727081109365618
46,0.009003785334566632,0.0009240727053897337
47,0.0085535960678383,0.0008778690701202468
48,0.008125916264446384,0.0008339756166142344
49,0.007719620451224064,0.0007922768357835226
50,0.007333639428662861,0.0007526629939943465
51,0.006966957457229717,0.0007150298442946292
52,0.006618609584368231,0.0006792783520798976
53,0.006287679105149819,0.0006453144344759028
54,0.005973295149892329,0.0006130487127521077
55,0.0056746303923977115,0.0005823962771145022
56,0.005390898872777826,0.000553276463258777
57,0.005121353929138934,0.0005256126400958382
58,0.0048652862326819864,0.0004993320080910462
59,0.004622021921047887,0.00047436540768649386
60,0.0043909208249954925,0.00045064713730216913
61,0.004171374783745718,0.0004281147804370607
62,0.003962806044558432,0.00040670904141520763
63,0.00376466574233051,0.00038637358934444724
64,0.003576432455213984,0.00036705490987722485
65,0.003397610832453285,0.0003487021643833636
66,0.0032277302908306203,0.00033126705616419536
67,0.003066343776289089,0.0003147037033559856
68,0.0029130265874746345,0.0002989685181881863
69,0.0027673752581009025,0.00028402009227877697
70,0.002629006495195857,0.0002698190876648381
71,0.0024975561704360643,0.00025632813328159616
72,0.002372678361914261,0.00024351172661751637
73,0.002254044443818548,0.00023133614028664055
74,0.0021413422216276204,0.0002197693332723085
75,0.002034275110546239,0.00020878086660869305
76,0.0019325613550189272,0.0001983418232782584
77,0.0018359332872679808,0.00018842473211434546
78,0.0017441366229045817,0.0001790034955086282
79,0.0016569297917593527,0.0001700533207331968
80,0.001574083302171385,0.00016155065469653694
81,0.0014953791370628155,0.00015347312196171007
82,0.0014206101802096748,0.00014579946586362456
83,0.001349579671199191,0.00013850949257044332
84,0.0012821006876392314,0.00013158401794192116
85,0.0012179956532572698,0.00012500481704482512
86,0.0011570958705944064,0.00011875457619258386
87,0.001099241077064686,0.00011281684738295466
88,0.0010442790232114516,0.00010717600501380692
89,0.000992065072050879,0.00010181720476311657
90,0.000942461818448335,9.672634452496075e-05
91,0.0008953387275259183,9.18900272987127e-05
92,0.0008505717911496223,8.729552593377706e-05
93,0.0008080432015921411,8.29307496370882e-05
94,0.0007676410415125341,7.87842121552338e-05
95,0.0007292589894369074,7.48450015474721e-05
96,0.000692796039965062,7.110275147009851e-05
97,0.0006581562379668089,6.754761389659358e-05
98,0.0006252484260684685,6.417023320176389e-05
99,0.000593986004765045,6.09617215416757e-05
